,Country Name,Country Code,Indicator Name,Indicator Code,Latitude,Longitude,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,12.5,-69.97,16.525934039805836,24.95911135167526,19.487055001734692,13.66859318093326,14.88074280024793,11.86236692168347,14.336675283558291,17.685441022131208,17.613662088091658,16.700537664565374,19.41602309268526,29.74851251130674,4.03225805628625,1.07396640826832,3.64304545817704,3.12186849610724,3.99162804604573,5.83668775158168,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756,4.04402131190514,2.8836043031626,3.31524678585428,3.65636507938414,2.52912946932762,3.39778677828806,3.60802438784541,5.39256784475512,8.9559870517779,-2.13542872046934,2.07814071860782,4.31629742195207,0.627471992893334,-2.37206524252253,0.42144091888116,0.474763597342612,-0.931195987079616,-1.02828178762002,3.62604141352956,4.25746204335428,4.136544390583356,8.020457198110266
1,Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-12.5,18.5,16.525934039805836,24.95911135167526,19.487055001734692,13.66859318093326,14.88074280024793,11.86236692168347,14.336675283558291,17.685441022131208,17.613662088091658,16.700537664565374,19.41602309268526,29.74851251130674,131.20729771788703,15.153454465722293,14.834173313157972,27.2347074511948,81.01024844051855,120.1427382507886,83.7837837837838,299.509803921569,1378.52760736196,949.792531120332,2666.45059288538,4145.10598220638,219.176721172974,107.284821528298,248.195902412868,324.996871601321,152.561022469299,108.897436089429,98.2241436573305,43.5421067519686,22.953513851394,13.3052101780031,12.2514974459487,12.4758291326398,13.7302839288409,14.4696564932576,13.4824679218512,10.2779049218839,8.77781429332618,7.28038730361125,9.15037207517202,30.6953129934938,29.8435866918797,19.6286077209765,17.0812152138993,4.136544390583356,8.020457198110266
2,Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,41.0,20.0,16.525934039805836,24.95911135167526,19.487055001734692,13.66859318093326,14.88074280024793,11.86236692168347,14.336675283558291,17.685441022131208,17.613662088091658,16.700537664565374,19.41602309268526,29.74851251130674,131.20729771788703,15.153454465722293,14.834173313157972,27.2347074511948,81.01024844051855,120.1427382507886,30.157003840100973,226.005421253526,85.0047512387157,22.5650526933696,7.79321853789215,12.7254778087102,33.1802743753957,20.6428588670596,0.389437653561606,0.0500181363468233,3.10758827031435,7.77052583431551,0.484002611818484,2.28001916938099,2.36658195679796,2.37072831904283,2.93268248162319,3.32087090389268,2.2669220945083,3.62604695579817,3.42912324722164,2.03159268395298,1.93762080205227,1.62586504402607,3.50120835492656,-0.367317209784628,2.0605984592022,2.02805963071136,1.41109078954248,1.62088661717004,2.04147163139546
3,Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,40.0,45.0,16.525934039805836,24.95911135167526,19.487055001734692,13.66859318093326,14.88074280024793,11.86236692168347,14.336675283558291,17.685441022131208,17.613662088091658,16.700537664565374,19.41602309268526,29.74851251130674,131.20729771788703,15.153454465722293,14.834173313157972,27.2347074511948,81.01024844051855,120.1427382507886,30.157003840100973,51.14157243512282,124.8167123513504,3373.75944336293,175.951325534583,18.681185640036,13.960764121791,8.6724863238516,0.648245760470397,-0.790883768934766,3.14590464685019,1.06004929341667,4.72155336605342,6.96126135875792,0.638928002410126,2.89235662459002,4.40736089644519,8.94995335353386,3.40676682683799,8.17636138473956,7.6500080785929,2.55802007757907,5.78966778544654,2.98130868933673,3.73169119261695,-1.40360755900906,0.969553268816231,2.52023382001631,1.44344660770702,1.21143577838465,7.18483629443373
4,Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-27.0,133.0,9.09090909090911,15.4166666666667,15.1624548736462,13.3228840125392,12.3098201936376,8.00492610837437,9.12200684150512,10.1358411703239,9.48766603415561,11.3518197573657,10.0389105058366,3.96039603960395,6.73469387755101,9.05035054174635,8.53302162478083,7.21593968766826,7.53390256152692,7.33302195235869,3.17667536988686,1.01223112610711,1.75365344467641,1.96963479688142,4.62776659959758,2.61538461538462,0.224887556221881,0.860134629768157,1.48312940304038,4.45743514797225,4.4071353620147,2.98157453936349,2.73259596616783,2.34325522482587,2.69183168316831,3.55528773727028,2.32761128891476,4.35029854990047,1.77111716621252,2.91834002677376,3.30385015608744,1.76278015613193,2.44988864142539,2.48792270531403,1.50836672165921,1.27699094497328,1.94864740944522,1.91140094445692,1.61076787290379,0.846905537459293,2.86391042204995
5,Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,47.33,13.33,7.53107803827125,9.52178819742239,8.44525863917966,7.31868545106923,5.49461568127665,3.57431857551219,3.70740096353416,6.32832536226099,6.80304177599256,5.43603082512853,3.33916453409529,5.66318573909355,3.1895168180519,1.70544456731969,1.40195271783978,1.91571684671255,2.56834829029368,3.26187231878578,3.3374270347479,4.02084780038555,3.63178524943182,2.95340936761076,2.24336631500904,1.86097115760431,1.30597857227694,0.92246719668082,0.568993765885587,2.34486285357277,2.65000077279529,1.81035787764132,1.35555370896445,2.06120618032866,2.29913785639285,1.44154851119019,2.16855528800755,3.21595033239883,0.506308827696486,1.81353438995065,3.28657914875376,2.48567562177017,2.00015616900603,1.60581182954471,0.896563335260302,0.891591752655335,2.08126911385587,1.99837981429546,1.53089564152645,1.38191063351859,2.76666666666665
6,Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,40.5,47.5,16.525934039805836,24.95911135167526,19.487055001734692,13.66859318093326,14.88074280024793,11.86236692168347,14.336675283558291,17.685441022131208,17.613662088091658,16.700537664565374,19.41602309268526,29.74851251130674,131.20729771788703,15.153454465722293,14.834173313157972,27.2347074511948,81.01024844051855,120.1427382507886,30.157003840100973,-10.6300971576201,1128.00002429404,1662.21594875899,411.759641777268,19.7948028061899,3.6743480968473,-0.772697886033187,-8.52517000536062,1.80500303704358,1.54719590152278,2.77116471998268,2.23386492967051,6.70893042797785,9.67950731917054,8.32892482863207,16.6997549618245,20.8490871772713,1.45704835970323,5.72687224669606,7.85833333333332,1.06621339720313,2.41571745279411,1.3734418153318,4.02768573742728,12.4433748584372,12.9359184187334,2.26854690374005,2.61057182799216,2.75980947008126,6.65029912708779
7,Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-3.5,30.0,6.00649350675308,15.7223072990937,15.7098745988233,6.8565515736454,6.83451404136486,23.8956206469303,36.5407569980926,2.49851950030163,12.1673943487938,5.8680963572266,8.15123135622633,14.3168697883258,3.80428683649426,1.67567567567545,7.1132376395534,4.48679769704178,11.6615998479958,7.00216956651126,8.99693873494325,1.8233333333331,9.67934658067928,14.852814983397,19.2632536382538,26.4367816091951,31.1115898319694,12.5004107653378,3.38542427340455,24.4320242102151,9.29618771341885,-1.36568005328061,10.6474645658306,8.17642937482059,13.2520699188223,2.74542000214246,8.41206285772541,24.4069510353914,10.5554355299529,6.49326591473996,9.59216605979671,18.1610453065451,7.93795807492412,4.4053523418529,5.54468891259786,5.55768961400965,16.0525353030392,-2.8146980766847,-0.686772170797229,7.32110643415513,8.4045384507634
8,Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,50.83,4.0,6.95528008719915,12.6778877513452,12.7681985920515,9.06860981054963,7.09600059132598,4.47059331592941,4.46908394900489,6.64868829655357,7.62748656814273,8.72654906555468,7.66160983743879,6.34177491009128,4.86873399496945,1.29436819102482,1.55338261314945,1.16093493415326,3.10705065111097,3.44831217961809,3.21531069260804,2.42795567164621,2.75442643473457,2.37754084476403,1.46796699090272,2.07702107350668,1.62816049512961,0.949250288350641,1.12084823417844,2.54451776190906,2.46925823086078,1.64521436175359,1.58896399970379,2.09728311239314,2.78143263670025,1.79120770070454,1.8230563002681,4.48944420508401,-0.0531456741253762,2.18929920422458,3.53208210722744,2.83966343445897,1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609,2.05316499865181,1.43681956996435,0.740791812220385,2.44024851144081
9,Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.5,2.25,16.525934039805836,24.95911135167526,19.487055001734692,13.66859318093326,14.88074280024793,11.86236692168347,14.336675283558291,17.685441022131208,17.613662088091658,16.700537664565374,19.41602309268526,29.74851251130674,131.20729771788703,15.153454465722293,14.834173313157972,27.2347074511948,81.01024844051855,120.1427382507886,30.157003840100973,51.14157243512282,0.44059921493181,38.5308661668537,14.4625482180894,4.91423972637199,3.46629590564781,5.7533145841706,0.326722893396868,4.16540442290282,3.98429547767895,2.4891623549154,1.48724246145442,0.873890830868505,5.36452085832342,3.78217696540374,1.29806813334154,7.94729876067859,0.896072355749072,2.20783532536522,2.70423907747279,6.74468253340715,0.428888888888863,-0.548757550948147,0.218785923536177,-0.794050173906725,1.76941247391975,0.644803622440778,-0.70502663454275,3.02272119663756,1.73355234175399
